Date,Name,Year,Letterboxd URI,Rating
2021-01-07,Spirited Away,2001,https://boxd.it/2b4m,5
2021-01-07,Snatch,2000,https://boxd.it/2b7U,5
2021-01-07,Memento,2000,https://boxd.it/2bcK,5
2021-01-07,Amores Perros,2000,https://boxd.it/2bfu,4.5
2021-01-07,The Hunt,2012,https://boxd.it/3wEC,1.5
2021-01-07,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2021-01-07,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4
2021-01-07,Inside Out,2015,https://boxd.it/4KHC,4.5
2021-01-07,Mission: Impossible – Rogue Nation,2015,https://boxd.it/5rI4,4
2021-01-07,The Imitation Game,2014,https://boxd.it/6aig,4
2021-01-07,Spectre,2015,https://boxd.it/6bXY,3
2021-01-07,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3
2021-01-07,Gone Girl,2014,https://boxd.it/6hQu,4.5
2021-01-07,Fifty Shades of Grey,2015,https://boxd.it/6qLo,0.5
2021-01-07,Whiplash,2014,https://boxd.it/7bQA,4.5
2021-01-07,Wild Tales,2014,https://boxd.it/7UmK,5
2021-01-07,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2021-01-07,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,4.5
2021-01-07,Citizen Kane,1941,https://boxd.it/71O,5
2021-01-07,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2021-01-07,Memories of Murder,2003,https://boxd.it/1TSo,5
2021-01-07,Infernal Affairs,2002,https://boxd.it/1Vqw,4
2021-01-07,Bicycle Thieves,1948,https://boxd.it/23hW,4
2021-01-07,Howl's Moving Castle,2004,https://boxd.it/23De,5
2021-01-07,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2021-01-07,The Departed,2006,https://boxd.it/28MA,4
2021-01-07,Oldboy,2003,https://boxd.it/29R2,5
2021-01-07,Downfall,2004,https://boxd.it/2a04,4.5
2021-01-07,Sunset Boulevard,1950,https://boxd.it/2a20,5
2021-01-07,The Lives of Others,2006,https://boxd.it/2a4A,5
2021-01-07,Rashomon,1950,https://boxd.it/2a9K,5
2021-01-07,Casablanca,1942,https://boxd.it/2aG0,5
2021-01-07,Batman Begins,2005,https://boxd.it/2aIg,4.5
2021-01-07,Hotel Rwanda,2004,https://boxd.it/2aSA,4.5
2021-01-07,Sin City,2005,https://boxd.it/2aVk,4
2021-01-07,"Spring, Summer, Fall, Winter... and Spring",2003,https://boxd.it/2b6W,4.5
2021-01-07,Before Sunset,2004,https://boxd.it/2bcg,5
2021-01-07,Million Dollar Baby,2004,https://boxd.it/2bdI,3.5
2021-01-07,Jurassic World,2015,https://boxd.it/4n0g,3
2021-01-07,Logan,2017,https://boxd.it/7Piy,4
2021-01-07,La La Land,2016,https://boxd.it/a5fa,4
2021-01-07,My Father and My Son,2005,https://boxd.it/1QgQ,4
2021-01-07,Toy Story 3,2010,https://boxd.it/1WRe,4.5
2021-01-07,There Will Be Blood,2007,https://boxd.it/20Z2,4.5
2021-01-07,No Country for Old Men,2007,https://boxd.it/21ew,4
2021-01-07,Ikiru,1952,https://boxd.it/251c,5
2021-01-07,The Bourne Ultimatum,2007,https://boxd.it/26Eu,4
2021-01-07,Pan's Labyrinth,2006,https://boxd.it/28No,4.5
2021-01-07,The Prestige,2006,https://boxd.it/293w,5
2021-01-07,Paths of Glory,1957,https://boxd.it/29b6,5
2021-01-07,Singin' in the Rain,1952,https://boxd.it/29oY,4.5
2021-01-07,Diabolique,1955,https://boxd.it/29we,5
2021-01-07,The Bridge on the River Kwai,1957,https://boxd.it/29wo,4.5
2021-01-07,Roman Holiday,1953,https://boxd.it/29zW,4.5
2021-01-07,V for Vendetta,2005,https://boxd.it/29Ik,4.5
2021-01-07,On the Waterfront,1954,https://boxd.it/29TC,4
2021-01-07,Wild Strawberries,1957,https://boxd.it/29ZU,4.5
2021-01-07,Rear Window,1954,https://boxd.it/2a6Q,5
2021-01-07,The Seventh Seal,1957,https://boxd.it/2ahO,5
2021-01-07,Vertigo,1958,https://boxd.it/2apI,5
2021-01-07,12 Angry Men,1957,https://boxd.it/2auI,5
2021-01-07,Seven Samurai,1954,https://boxd.it/2axi,5
2021-01-07,The Killing,1956,https://boxd.it/2aMi,4.5
2021-01-07,North by Northwest,1959,https://boxd.it/2aRM,4
2021-01-07,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2021-01-07,The 400 Blows,1959,https://boxd.it/2b1C,3.5
2021-01-07,The Graduate,1967,https://boxd.it/18Im,3
2021-01-07,Yojimbo,1961,https://boxd.it/1SRY,5
2021-01-07,Network,1976,https://boxd.it/1VqG,5
2021-01-07,Barry Lyndon,1975,https://boxd.it/25A2,4.5
2021-01-07,Rocky,1976,https://boxd.it/28Uk,3.5
2021-01-07,Dog Day Afternoon,1975,https://boxd.it/29bg,4.5
2021-01-07,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,5
2021-01-07,Cool Hand Luke,1967,https://boxd.it/29jY,5
2021-01-07,Chinatown,1974,https://boxd.it/29vU,4.5
2021-01-07,Persona,1966,https://boxd.it/29B4,4.5
2021-01-07,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4.5
2021-01-07,Butch Cassidy and the Sundance Kid,1969,https://boxd.it/29Vy,4.5
2021-01-07,To Kill a Mockingbird,1962,https://boxd.it/2a2E,4.5
2021-01-07,Jaws,1975,https://boxd.it/2a5e,4
2021-01-07,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2021-01-07,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4.5
2021-01-07,The Apartment,1960,https://boxd.it/2aGE,5
2021-01-07,Some Like It Hot,1959,https://boxd.it/2aNA,4.5
2021-01-07,The Godfather,1972,https://boxd.it/2aNK,5
2021-01-07,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2021-01-07,Taxi Driver,1976,https://boxd.it/2b8y,5
2021-01-07,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2021-01-07,Lawrence of Arabia,1962,https://boxd.it/2wRE,4.5
2021-01-07,Black Mirror: Nosedive,2016,https://boxd.it/hK9G,3
2021-01-07,Black Mirror: Playtest,2016,https://boxd.it/hRR6,5
2021-01-07,Apocalypse Now,1979,https://boxd.it/6ZS,5
2021-01-07,Star Wars,1977,https://boxd.it/72s,4.5
2021-01-07,The Avengers,2012,https://boxd.it/1xFW,3.5
2021-01-07,Grave of the Fireflies,1988,https://boxd.it/1RUM,2.5
2021-01-07,The Deer Hunter,1978,https://boxd.it/1T6O,5
2021-01-07,WALL·E,2008,https://boxd.it/1VEo,4.5
2021-01-07,How to Train Your Dragon,2010,https://boxd.it/1WRy,3.5
2021-01-07,Into the Wild,2007,https://boxd.it/22m2,4.5
2021-01-07,The Princess Bride,1987,https://boxd.it/26EY,3.5
2021-01-07,The Elephant Man,1980,https://boxd.it/27LQ,4
2021-01-07,Return of the Jedi,1983,https://boxd.it/27Vm,4
2021-01-07,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2021-01-07,Raging Bull,1980,https://boxd.it/28yI,4.5
2021-01-07,Platoon,1986,https://boxd.it/29BS,5
2021-01-07,Annie Hall,1977,https://boxd.it/29M2,4.5
2021-01-07,The Shining,1980,https://boxd.it/29Nu,5
2021-01-07,"Paris, Texas",1984,https://boxd.it/29Ts,5
2021-01-07,Full Metal Jacket,1987,https://boxd.it/2a1Q,5
2021-01-07,Die Hard,1988,https://boxd.it/2a7u,4
2021-01-07,Alien,1979,https://boxd.it/2awY,4
2021-01-07,Scarface,1983,https://boxd.it/2b7g,4.5
2021-01-07,Back to the Future,1985,https://boxd.it/2b8e,5
2021-01-07,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,4.5
2021-01-07,Blade Runner,1982,https://boxd.it/2bcA,3.5
2021-01-07,Mary and Max,2009,https://boxd.it/1y2m,4
2021-01-07,Cinema Paradiso,1988,https://boxd.it/1UlA,4.5
2021-01-07,My Neighbor Totoro,1988,https://boxd.it/20eA,5
2021-01-07,Home Alone,1990,https://boxd.it/29Fg,4
2021-01-07,GoodFellas,1990,https://boxd.it/29FA,5
2021-01-07,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2021-01-07,The Social Dilemma,2020,https://boxd.it/opQI,4
2021-01-07,Battlestar Galactica,2003,https://boxd.it/aBAu,4.5
2021-01-08,The Blind Side,2009,https://boxd.it/1zWg,2.5
2021-01-09,Stuck Apart,2021,https://boxd.it/o2cU,2
2021-01-09,The Carter Effect,2017,https://boxd.it/h2jW,3.5
2021-01-10,Rise of the Guardians,2012,https://boxd.it/2PXw,2
2021-01-11,War of the Worlds,2005,https://boxd.it/2bde,2.5
2021-01-11,Tony Parker: The Final Shot,2021,https://boxd.it/trls,4
2021-01-12,Swiss Army Man,2016,https://boxd.it/bDG2,4
2021-01-13,The Juniper Tree,1990,https://boxd.it/1nr6,2
2021-01-13,State of Play,2009,https://boxd.it/1JnA,2.5
2021-01-13,Nimic,2019,https://boxd.it/n10Q,3
2021-01-14,Time Lapse,2014,https://boxd.it/8hCQ,2.5
2021-01-15,Wiener-Dog,2016,https://boxd.it/aD3M,2
2021-01-16,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,3
2021-01-16,La Jetée,1962,https://boxd.it/29Sk,4.5
2021-01-17,Piper,2016,https://boxd.it/dZaG,4
2021-01-18,Everything Will Be OK,2006,https://boxd.it/1h0y,4
2021-01-19,Outside the Wire,2021,https://boxd.it/taq6,2.5
2021-01-19,I Am So Proud of You,2008,https://boxd.it/1h0e,3.5
2021-01-19,"Wittgenstein Plays Chess with Marcel Duchamp, or How Not to Do Philosophy",2020,https://boxd.it/rc3Y,3
2021-01-20,Dimensions of Dialogue,1983,https://boxd.it/1FPq,5
2021-01-20,The Change-Up,2011,https://boxd.it/FRu,2.5
2021-01-20,The Man Who Knew Too Little,1997,https://boxd.it/1YKa,3
2021-01-21,Can You Keep a Secret?,2019,https://boxd.it/jAma,1.5
2021-01-22,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5
2021-01-23,Identity Thief,2013,https://boxd.it/3GOW,2
2021-01-24,Clue,1985,https://boxd.it/1MDQ,3.5
2021-01-26,Apollo 13,1995,https://boxd.it/2a6G,3.5
2021-01-28,The Theory of Everything,2014,https://boxd.it/7YtA,2.5
2021-04-10,Seaspiracy,2021,https://boxd.it/u9rE,4
2021-04-13,Ocean's Eleven,2001,https://boxd.it/2aZm,2
2021-04-14,The Report,2019,https://boxd.it/j2X2,4
2021-04-15,Zero Dark Thirty,2012,https://boxd.it/3n1w,3
2021-04-17,Snowden,2016,https://boxd.it/9CWO,3.5
2021-04-18,The Life Ahead,2020,https://boxd.it/oRqS,2.5
2021-04-19,A Fortunate Man,2018,https://boxd.it/j0X0,4
2021-04-22,The Past,2013,https://boxd.it/4Ovg,4
2021-04-25,The Dead Don't Die,2019,https://boxd.it/juZg,3.5
2021-04-28,Shoplifters,2018,https://boxd.it/ifY6,3.5
2021-04-30,The Great Dictator,1940,https://boxd.it/29ic,4.5
2021-05-01,Modern Times,1936,https://boxd.it/25MC,4.5
2021-05-09,The Light Between Oceans,2016,https://boxd.it/8Lf8,2.5
2021-05-10,Stowaway,2021,https://boxd.it/ktMM,2
2021-05-11,Knives Out,2019,https://boxd.it/jWEA,4.5
2021-05-15,The Woman in the Window,2021,https://boxd.it/iT56,3.5
2021-05-17,Frances Ha,2012,https://boxd.it/41Xg,3
2021-05-22,The Current War,2017,https://boxd.it/eNvO,2
2021-05-23,Nomadland,2020,https://boxd.it/lnRy,3.5
2021-05-24,Soul,2020,https://boxd.it/ioLA,4
2021-05-27,Deadpool 2,2018,https://boxd.it/dlLM,2
2021-06-21,Mildred Pierce,2011,https://boxd.it/64HY,3.5
2021-07-29,Titanic: 20 Years Later with James Cameron,2017,https://boxd.it/hDai,3
2021-08-15,The Marksman,2021,https://boxd.it/nwpC,1.5
2021-09-17,Schumacher,2021,https://boxd.it/wk2k,3.5
2021-09-20,Steve Jobs,2015,https://boxd.it/araG,2.5
2021-09-24,The Secret Life of Pets,2016,https://boxd.it/aJ5E,2
2021-10-03,Midnight Mass,2021,https://boxd.it/wvVA,3.5
2021-10-03,Olive Kitteridge,2014,https://boxd.it/91Yy,4.5
2021-11-09,Maid,2021,https://boxd.it/x3mk,3.5
2021-11-12,Emma.,2020,https://boxd.it/kmg0,2
2021-11-14,Dark Horse,2005,https://boxd.it/23fQ,4
2021-11-16,Red Notice,2021,https://boxd.it/ixtq,2.5
2021-11-24,Dune,2021,https://boxd.it/fA7G,4.5
2021-12-03,IO,2019,https://boxd.it/fmCU,1
2021-12-04,Interstellar,2014,https://boxd.it/4VZ8,5
2021-12-11,Rose Island,2020,https://boxd.it/nBlq,4
2021-12-16,House of Gucci,2021,https://boxd.it/nVkC,1.5
2021-12-25,Don't Look Up,2021,https://boxd.it/o0Hc,2
2021-12-26,The Unforgivable,2021,https://boxd.it/nZ4e,3.5
2022-01-02,Harry Potter 20th Anniversary: Return to Hogwarts,2022,https://boxd.it/xXJk,3.5
2022-02-12,The Tinder Swindler,2022,https://boxd.it/yMLw,3.5
2022-02-28,Downfall: The Case Against Boeing,2022,https://boxd.it/ypu8,2.5
2022-03-18,The Power of the Dog,2021,https://boxd.it/m99E,1.5
2022-03-20,The Matrix Resurrections,2021,https://boxd.it/n87k,2.5
2022-03-27,Nightmare Alley,2021,https://boxd.it/m0HC,2.5
2022-03-28,The French Dispatch,2021,https://boxd.it/jLP8,2.5
2022-03-28,Turning Red,2022,https://boxd.it/ipkq,4
2022-03-29,Belfast,2021,https://boxd.it/tefG,4.5
2022-03-30,Encanto,2021,https://boxd.it/kPRu,3
2022-04-06,Free Guy,2021,https://boxd.it/k8dm,3
2022-04-06,The Adam Project,2022,https://boxd.it/q2Dg,2
2022-04-07,Artemis Fowl,2020,https://boxd.it/h3Vs,0.5
2022-04-19,The Hand of God,2021,https://boxd.it/r5uI,3
2022-04-20,Death on the Nile,2022,https://boxd.it/ifpg,1.5
2022-04-24,The Silencing,2020,https://boxd.it/mgbC,3
